word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,margin_local,local_top_atom,l2_self,focus_rate
agnatic,adj,SOC.family,0.887466,0.865899,SOC.public,0.021568,0.021567,SOC.public,6.358646,0.5005
go,n,ACT.go,0.933818,0.949476,PRP.blunt,-0.015658,0.021582,ACT.sit,4.926397,0.3598
azedarach,n,NAT.tree,0.92257,0.900985,NAT.flower,0.021585,0.021585,NAT.flower,7.333137,0.5623
insurrection,n,STA.war,0.862275,0.873617,LOG.effect,-0.011342,0.021596,ACT.agitate,13.036959,0.342
stirrup cup,n,MAT.drink,0.750326,0.854863,PRP.near,-0.104537,0.021634,ELM.light,7.466087,0.7274
Balance,n,EXS.being,0.763832,0.801673,FND.timeless,-0.037842,0.02164,EXS.nonbeing,7.531488,0.6448
solver,n,COG.enlightenment,0.904289,0.882647,EMO.courage,0.021642,0.021642,EMO.courage,5.792162,0.373
melt,n,ACT.dissolve,0.934691,0.929247,SOC.homeless,0.005444,0.021644,PRP.dry,7.512623,0.6809
probe,v,COM.question,0.875607,0.853956,FND.mind,0.021651,0.021651,FND.mind,6.304131,0.373
pestiferous,adj,PRP.dirty,0.924492,0.902839,PER.stench,0.021654,0.021653,PER.stench,5.893123,0.5691
capacitate,v,FND.transformation,0.840002,0.818346,ABS.release,0.021656,0.021656,ABS.release,11.870496,0.5626
dare,v,EMO.courage,0.884244,0.873715,TIM.indefinite,0.01053,0.021657,EMO.doubt,13.787534,0.4618
spook,v,EMO.fear,0.952318,0.930645,EMO.anxiety,0.021673,0.021673,EMO.anxiety,6.070163,0.7155
sophisticated,adj,WLD.secular,0.588538,0.638805,FND.ahistorical,-0.050267,0.021685,WLD.nonscience,8.083243,0.4897
crusade,v,SOC.individual,0.90618,0.898948,EMO.courage,0.007232,0.02169,EMO.desire,5.843254,0.6243
prater,n,COM.speak,0.854053,0.83236,ECO.withdraw,0.021693,0.021693,ECO.withdraw,7.101145,0.7382
quieten,v,ACT.calm,0.91243,0.890732,ABS.release,0.021698,0.021698,ABS.release,5.700533,0.5494
